customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
CS027514000069,土屋 さやか,9,不明,1967-02-10,52,251-0033,神奈川県藤沢市片瀬山**********,S14027,20141213,A-20101018-B
CS031504000012,向井 剛基,0,男性,1966-09-19,52,151-0062,東京都渋谷区元代々木町**********,S13031,20150310,0-00000000-0
CS028403000022,新垣 三郎,0,男性,1973-09-12,45,246-0012,神奈川県横浜市瀬谷区東野**********,S14028,20150905,0-00000000-0
CS001415000103,水谷 千夏,1,女性,1976-12-08,42,144-0051,東京都大田区西蒲田**********,S13001,20150509,A-20100925-C
CS019313000145,早美 由美子,1,女性,1985-02-20,34,173-0033,東京都板橋区大山西町**********,S13019,20141226,0-00000000-0
CS002412000346,荒川 美嘉,1,女性,1973-03-22,46,187-0045,東京都小平市学園西町**********,S13002,20160808,0-00000000-0
CS003415000271,稲垣 遥,1,女性,1975-12-14,43,201-0001,東京都狛江市西野川**********,S13003,20160630,A-20090325-8
CS029502000052,岡崎 優一,0,男性,1963-03-28,56,134-0085,東京都江戸川区南葛西**********,S12029,20150803,0-00000000-0
CS002515000290,大山 みあ,1,女性,1959-06-05,59,185-0023,東京都国分寺市西元町**********,S13002,20160627,C-20100730-B
CS009314000030,西川 奈々,1,女性,1983-05-15,35,158-0091,東京都世田谷区中町**********,S13009,20150519,E-20100910-D
